Timestamp,RPM,MAF,Boost,CoolantTe,OilTemp,OilPressure,ThrottlePo,AFR,LeakZone,HealthScor
16.00.41,1785.57,858.72,214.09,85.74,91.86,352.05,65.07,16.38,0,98.63
16.00.42,1809.89,842.49,216.82,85.93,91.79,351.25,66.76,16.39,0,97.9
16.00.43,1811.03,846.22,216.69,85.94,92.05,347.29,65.87,16.75,0,97.57
16.00.44,1794.43,847.89,214.95,85.76,91.95,339.96,64.3,16.95,0,99.24
16.00.45,1790.89,845.98,214.06,85.1,91.44,335.52,64.48,16.04,0,98.77
16.00.46,1801.69,843.22,216.34,85.08,92.14,341.6,65.08,16.66,0,98.25
16.00.47,1802.88,849.32,215.58,85.54,92.01,340.05,64.97,16.77,0,98.85
16.00.48,1813.66,840.21,215.78,85.32,91.28,343.34,65.91,16.72,0,99.1
16.00.49,1787.25,841.28,215.75,84.71,92.64,340.13,66.1,16.54,0,98.48
16.00.50,1803.43,844.6,213.87,85.05,92.93,339.76,63.16,16.42,0,98.15
16.00.51,1810.99,796.89,187.08,91.56,103.44,313.77,70.45,15.19,2,53.08
16.00.52,1808.92,791.24,185.11,92.22,106.63,318.38,71.32,14.86,2,55.44
16.00.53,1811.23,781.07,183.02,91.58,106.85,317.01,71.14,14.36,2,58.0
16.00.54,1785.36,784.95,181.75,91.95,105.38,315.7,72.49,15.27,2,51.91
16.00.55,1803.99,788.3,183.59,91.01,104.17,319.51,71.02,15.28,2,52.06
16.00.56,1785.87,785.27,189.45,91.54,105.87,312.32,73.83,14.31,2,55.62
16.00.57,1796.89,797.86,182.65,92.99,104.42,319.24,73.8,14.97,2,57.42
16.00.58,1788.81,788.1,184.36,91.56,105.34,328.29,73.48,14.39,2,52.23
16.00.59,1796.89,796.1,183.31,92.46,104.65,321.44,71.48,15.22,2,56.81
16.01.00,1785.61,795.61,182.09,92.07,105.26,315.6,70.24,15.06,2,51.31
16.01.01,1813.61,809.84,202.77,87.62,97.41,338.34,66.69,15.64,5,75.41
16.01.02,1808.88,807.47,205.07,88.83,98.87,330.11,69.35,15.64,5,74.5
16.01.03,1807.72,816.71,204.86,87.61,97.3,336.37,68.34,15.74,5,70.19
16.01.04,1811.25,801.62,205.67,87.45,97.83,333.87,69.32,15.7,5,68.7
16.01.05,1793.37,804.04,206.98,87.01,98.93,337.75,67.65,15.68,5,68.55
16.01.06,1788.09,804.18,206.13,88.93,98.64,322.32,66.1,15.58,5,74.49
16.01.07,1792.97,802.08,202.65,87.63,97.76,325.27,68.58,15.7,5,72.92
16.01.08,1797.79,802.51,205.24,87.52,97.01,337.4,66.2,15.11,5,73.47
16.01.09,1811.0,804.21,202.32,87.59,98.78,335.94,68.11,15.67,5,69.87
16.01.10,1809.89,805.31,206.22,88.02,97.66,339.37,68.8,15.77,5,68.41
